Code,SMILES,Score,,,,,
D165,"CC[C@@H](C)C[C@H](/C=C(/C)\[C@@H]([C@H](C)/C=C(/C)\[C@@H]([C@H](C)/C=C/[C@@H]([C@H](C)/C=C(/C)\C=O)O)O)O)CO	",-15.9,,,,D165,
D166,"Cc1cc(=O)c2c(cc(c([C@@H]3C[C@H](C(=O)O3)OC)c2o1)OC)O	",-13.7,,,,D166,
D167,"c1c(oc2c(c1=O)c(cc(c2[C@H](OC)C[C@H](C(=O)OC)OC)OC)O)C	",-14.7,,,,D167,
D168,"c1c(oc2c(c1=O)c(cc(c2[C@@H](OC)C[C@H](C(=O)OC)OC)OC)O)C	",-14.3,,,,D168,
D169,"c1c(oc2c(c1=O)c(cc(c2[C@@H](OC)C[C@H](C(=O)O)OC)OC)O)C	",-14,,,,D169,
D170,"C(=O)(c1c(cc(cc1CCCCCCC[C@@H](C)O)O)O)OCC	",-13.4,,,,D170,
D171,"O1C(=O)[C@@H](N(C(=O)[C@H](OC(=O)[C@@H](N(C(=O)[C@H](OC(=O)[C@@H](N(C(=O)[C@H]1C(C)C)C)Cc1ccccc1)C(C)C)C)Cc1ccccc1)C(C)C)C)Cc1ccccc1	",-13,,,,D171,
D172,"c1(ccc(cc1)CCO)OC[C@@H](O)C(C)(C)O	",-11.3,,,,D172,
D173,"C1C(=C[C@]2(C1)[C@@H]1[C@H](CC[C@@H]2C)[C@@H](C(=O)O1)C)CO	",-12.3,,,,D173,
D174,"C(=O)(CC[C@@]1([C@H](CCc2c(c(c(cc12)O)C)C=C)C(=C)C)C)OC	",-14,,,,D174,
D175,"O1C(=O)c2c([C@@H]1CCCCCCC)c(c(c(c2)O)O)O	",-13.1,,,,D175,
D176,"c1(c(c(cc(c1)O)O)C(=O)CCCCCCC)CC(=O)OC	",-13.7,,,,D176,
D177,"c1(c(c(cc(c1)O)O)C(=O)CCCCCCCC)CC(=O)OCC	",-14.4,,,,D177,
D178,"C1[C@@H](C[C@]2([C@](C1)([C@@H]1[C@@H](CC2=O)[C@H]2[C@](CC1)([C@H](CC2)[C@@H](/C=C/[C@@H](C(C)C)C)C)C)C)O)O	",-15.5,,,,D178,
D179,"C1[C@@H](C[C@]2([C@](C1)([C@@H]1[C@@H](CC2=O)[C@]2([C@](CC1)([C@H](CC2)[C@@H](/C=C/[C@@H](C(C)C)C)C)C)O)C)O)O	",-15,,,,D179,
D180,"c1(cc(c2c(c1OC)C(=O)OC2)COC)C	",-10.9,,,,D180,
D181,"[C@@]12(C3=CC(=O)OC[C@H]3[C@@H]([C@H]3OC(=O)[C@@](CCC1)([C@@H]23)C)O)C	",-13.9,,,,D181,
D182,"C1C[C@]([C@H]2[C@](C1)([C@H](C(=C)[C@H](C2)O)CC(=O)O)C)(C)C(=O)O	",-13.3,,,,D182,
D183,"c12c(oc(=O)cc1)c(c1c(c2C)cco1)CC=C(C)C	",-14.1,,,,D183,
